Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
2022_Saudi Arabia_Sprint,VER,1,C4,Exponential with Asymptote,0.038414695462070915,0.20054530457932518,0.8571428571428571,[9.48166513e+01 2.43860574e-03 1.04907000e+02],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,VER,4,C3,Exponential,0.5153659691192142,0.5770946032344133,1.2,[9.43121867e+01 3.15474306e-03],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,GAS,3,C3,Exponential with Asymptote,6.353964453353767,0.9337649996737314,0.5,[126.75374656   0.87941874  93.37115716],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,PER,1,C4,Exponential with Asymptote,0.037466525092407006,0.4430024128995169,0.9230769230769231,[9.44593506e+01 4.54022599e-03 1.04847600e+02],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,PER,4,C3,Exponential with Asymptote,0.1454430390240248,0.568733145023661,0.4,[96.22497225  1.         92.27046748],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,ALO,1,C4,Exponential with Asymptote,0.04668593770938093,0.4976247511559513,1.0,[97.13708671  1.         96.37293056],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,LEC,1,C4,Exponential with Asymptote,0.04023628586402776,0.14034476965842047,0.8571428571428571,[9.47244942e+01 2.01869769e-03 1.04760699e+02],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,LEC,4,C3,Exponential with Asymptote,0.34329027681846874,0.7903443421966556,1.0,[100.2524866    0.76578856  92.21602603],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,STR,1,C4,Exponential with Asymptote,1.0678186749696448,0.2836837385464104,1.0,[9.72297192e+01 1.33073024e-02 1.12044900e+02],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,STR,4,C3,Exponential with Asymptote,3.4095505394333814,0.9686944520072943,0.6666666666666666,[127.09585491   0.99012961  94.2271858 ],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,MAG,1,C3,Exponential,0.13657885378792683,0.13746060198054455,0.7142857142857143,[9.71177047e+01 3.77646344e-04],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,MAG,5,C4,Exponential with Asymptote,0.5917790655520158,0.9945059743366993,0.5454545454545454,[127.57743671   0.8256492   92.75031158],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,ALB,1,C4,Exponential,0.20770932307283393,0.21518003605790403,1.0909090909090908,[9.87109904e+01 7.67356791e-04],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,ZHO,1,C4,Double Exponential,0.048612283157420846,0.8524051031711358,0.9230769230769231,[9.86287549e+01 1.00000000e+00 5.59568356e-04 1.32316306e-02],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,ZHO,3,C3,Exponential with Asymptote,0.020131775215922906,0.4658509270405634,1.3333333333333333,[95.07168364  1.         94.64757201],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,ZHO,4,C3,Exponential with Asymptote,2.6351471653469405,0.8278719166680789,0.36363636363636365,[127.32080436   1.          94.02125084],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,HUL,1,C3,Exponential with Asymptote,0.0929262744482676,0.8388405688410189,1.0,[9.88505785e+01 9.01584110e-02 9.55858107e+01],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,HUL,5,C4,Exponential with Asymptote,1.7017120992485408,0.81908575090025,0.7272727272727273,[120.15085041   1.          94.1880459 ],28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,RIC,1,C4,Linear (fallback),0.9867549336734701,0.06754629831765602,1.1428571428571428,"[np.float64(0.13367857142857123), np.float64(97.69267857142857)]",28.40921052631579,25.42039473684211
2022_Saudi Arabia_Sprint,RIC,2,C3,Exponential with Asymptote,0.012790333360159924,0.3662478360499519,1.6666666666666667,[96.05969169  0.70535651 95.80624169],28.40921052631579,25.42039473684211
